,business_id,name,address,city,state,postal_code,latitude,longitude
1323,4985,SWEET MART,727 WASHINGTON ST ,San Francisco,CA,94108,37.795188,-122.405723
1324,4986,SENIORE'S PIZZA,2415 19TH AVE ,San Francisco,CA,94116,37.742728,-122.475714
1325,4987,ROSSI'S DELI,426 CASTRO ST ,San Francisco,CA,94114,37.761954,-122.435168
1326,4992,HEALTHY SPIRITS,2299 15TH ST ,San Francisco,CA,94114,37.765673,-122.435386
1327,4998,M & L MARKET,691 14TH ST ,San Francisco,CA,94114,37.767723,-122.428259
1328,4999,HARVEST MARKET,2285 MARKET ST ,San Francisco,CA,94114,37.764607,-122.432452
1329,5000,PEET'S COFFEE & TEA,2257 MARKET ST ,San Francisco,CA,94114,37.764947,-122.432012
1330,5006,LA MEJOR BAKERY,3329 24TH ST ,San Francisco,CA,94110,37.752156,-122.41916
1331,5010,LATTE EXPRESS,48 05TH ST ,San Francisco,CA,94103,37.783225,-122.407252
1332,5011,STARBUCKS COFFEE,1231 MARKET ST ,San Francisco,CA,94103,37.778357,-122.415182
1333,5016,THE CRAB STATION OF FISHERMAN'S WHARF, FOOT OF TAYLOR ST #2,San Francisco,CA,94133,37.795202,-122.413169
1334,5017,COLLEGE MARKET,995 ELLIS ST ,San Francisco,CA,94109,37.783613,-122.422397
1335,5018,MCDONALDS,1455 MARKET ST 1/F,San Francisco,CA,94103,37.775977,-122.418126
1336,5019,PEET'S COFFEE & TEA,2300 16TH ST #240,San Francisco,CA,94103,37.765708,-122.409002
1337,5025,PIZZA HUT,3349 MISSION ST ,San Francisco,CA,94110,37.743313,-122.421363
1338,5032,MITCHELLS ICE CREAM,688 SAN JOSE AVE,San Francisco,CA,94110,37.744122,-122.422722
1339,5033,DESTINATION BAKING COMPANY,598 CHENERY ST ,San Francisco,CA,94131,37.734619,-122.432379
1340,5038,MARINA DELI,2299 CHESTNUT ST ,San Francisco,CA,94123,37.800194,-122.440927
1341,5039,PRESIDIO THEATRE,2340 CHESTNUT ST ,San Francisco,CA,94123,37.800128,-122.441914
1342,5049,LEE'S DELI,117 NEW MONTGOMERY ST ,San Francisco,CA,94105,37.787113,-122.400052
1343,5053,JAVA TRADING CO,100 05TH ST ,San Francisco,CA,94103,37.782659,-122.406555
1344,5068,CITY KINETICS,123 MISSION ST ,San Francisco,CA,94105,37.792137,-122.394573
1345,5071,CAFE-ROSSO,1600 HOLLOWAY AVE ,San Francisco,CA,94132,37.720851,-122.477084
1346,5074,NOAH'S NEW YORK BAGELS #2105,1521 SLOAT BLVD,San Francisco,CA,94132,37.733944,-122.490438
1347,5077,SEAKOR DELI,5957 GEARY BLVD ,San Francisco,CA,94121,37.780054,-122.483181
1348,5083,AMC-LEVEL #2,1000 VAN NESS AVE #2,San Francisco,CA,94109,37.784784,-122.421052
1349,5084,AMC-LEVEL #4,1000 VAN NESS AVE #4,San Francisco,CA,94109,37.784784,-122.421052
1350,5085,AMC-LEVEL #7,1000 VAN NESS AVE #7,San Francisco,CA,94109,37.784784,-122.421052
1351,5090,SUNSET SUPERMARKET,2425 IRVING ST,San Francisco,CA,94122,37.763221,-122.483832
1352,5091,CRAB CAKE & SWEET,PIER 39  SPACE K-01,San Francisco,CA,94133,37.80824,-122.410189
1353,5096,POPEYES-GENEVA & MISSION,890 GENEVA AVE ,San Francisco,CA,94112,37.716643,-122.441187
1354,5104,IN-N-OUT BURGER,333 JEFFERSON ST ,San Francisco,CA,94133,37.807923,-122.417887
1355,5110,MCDONALDS,575 MARKET ST ,San Francisco,CA,94105,37.789838,-122.400641
1356,5118,KFC,1150 TARAVAL ST ,San Francisco,CA,94116,37.742948,-122.478732
1357,5124,PIZZA HUT #758280,728 GEARY ST ,San Francisco,CA,94109,37.786477,-122.415454
1358,5129,LATTE EXPRESS,648 04TH ST ,San Francisco,CA,94107,37.777702,-122.39585
1359,5136,TACO BELL,7 DRUMM ST,San Francisco,CA,94111,37.793874,-122.396464
1360,5143,MCDONALDS,2801 MISSION ST,San Francisco,CA,94110,37.752219,-122.418415
1361,5144,POPEYES CHICKEN & BISCUIT,599 DIVISADERO ST ,San Francisco,CA,94117,37.774873,-122.437804
1362,5150,KENTUCKY FRIED CHICKEN,200 DUBOCE ST ,San Francisco,CA,94103,37.769758,-122.424782
1363,5156,MCDONALDS,302 POTRERO AVE ,San Francisco,CA,94110,37.765507,-122.407565
1364,5232,GLOBAL GOURMET CATERING,1030 ILLINOIS ST ,San Francisco,CA,94107,37.758887,-122.387493
1365,5243,CHRISTOPHER'S CATERING,1643 JERROLD AVE ,San Francisco,CA,94124,37.739197,-122.390225
1366,5252,DAY DARMET CATERING,1068 REVERE AVE ,San Francisco,CA,94124,37.72608,-122.380207
1367,5254,BETTY ZLATCHIN CATERING,1177 INDIANA ST ,San Francisco,CA,94107,37.755483,-122.390879
1368,5256,"ECLECTIC COOKERY, INC.",HUNTER'S POINT BLDG 110,San Francisco,CA,94124,37.790805,-122.4036823
1369,5257,LITTLE BAOBAB,3388 19TH ST ,San Francisco,CA,94110,37.760295,-122.418953
1370,5258,IBERIA CATERING,2850 ALEMANY BLVD ,San Francisco,CA,94112,37.712715,-122.451363
1371,5260,ARMENIA N COMMUNITY CTR,825 BROTHERHOOD WAY ,San Francisco,CA,94132,37.714412,-122.477486
1372,5267,KNIGHTS CATERING,255 MENDELL STREET,San Francisco,CA,94124,37.741939,-122.383872
1373,5268,SAN FRANCISCO MUSEUM OF MODERN ART,151 03RD ST ,San Francisco,CA,94103,37.785643,-122.401192
1374,5271,MCCALL ASSOCIATES,2720 17TH ST ,San Francisco,CA,94110,37.764359,-122.410594
