tract,hh_type1_h,hh_type1_t
6075010900,37.17887,8.4222
6075011000,35.12419,8.06955
6075011100,35.43498,7.73256
6075011200,38.2131,8.41709
6075011300,29.00188,7.12183
6075011700,23.93053,9.29543
6075011800,21.83982,7.36459
6075011901,32.01671,7.15056
6075011902,29.75895,7.27926
6075012000,31.38547,6.30507
6075012100,33.93631,6.78081
6075012201,26.58603,6.46607
6075012202,27.20806,6.30864
6075012301,16.24188,6.64725
6075012302,27.20806,6.55538
6075012401,20.539,6.33387
6075012402,22.34899,7.28465
6075012501,19.39721,6.51308
6075012502,15.85067,5.53193
6075012601,35.37972,9.1541
6075012602,34.17123,10.45066
6075012700,36.26586,9.7143
6075012800,36.29063,10.02573
6075012901,30.9018,8.83477
6075012902,33.02514,9.05574
6075013000,37.50681,9.37311
6075013101,37.6021,8.08225
6075013102,37.59497,9.21577
6075013200,41.0243,10.20218
6075013300,41.17629,11.08217
6075013400,35.68215,9.66443
6075013500,35.55671,8.85832
6075015100,35.22174,8.09376
6075015200,35.70921,8.56188
6075015300,37.30618,10.01394
6075015400,35.24775,10.18425
6075015500,28.18291,8.19765
6075015600,31.78474,10.16844
6075015700,32.5708,10.03177
6075015801,32.09936,9.12781
6075015802,35.32219,8.7845
6075015900,33.39419,8.31616
6075016000,29.68722,7.90179
6075016100,22.77077,8.41543
6075016200,31.36011,8.49657
6075016300,34.34708,8.68712
6075016400,35.10158,9.22861
6075016500,36.36156,9.37543
6075016600,34.6145,9.28814
6075016700,32.33167,9.53539
6075016801,35.41354,8.89789
6075016802,32.17271,8.42663
6075016900,35.46242,9.47533
6075017000,34.91459,10.3962
6075017101,36.5097,10.10113
6075017102,35.81041,9.95792
6075017601,25.74962,7.91471
6075017700,28.25401,9.97237
6075017801,24.58612,7.98002
6075017802,36.39075,9.29793
6075017902,23.04134,12.44111
6075018000,30.13695,9.61168
6075020100,32.04223,8.50697
6075020200,35.62266,8.3922
6075020300,28.07321,9.03201
6075020401,28.86761,10.09611
6075020402,26.3101,10.15988
6075020500,30.27954,10.13478
6075020600,33.39044,10.25646
6075020700,35.60412,9.22972
6075020800,31.88209,9.02254
6075020900,26.37404,9.31877
6075021000,34.25983,9.46186
6075021100,33.88185,10.78859
6075021200,35.56502,11.11666
6075021300,32.44687,11.2618
6075021400,33.31069,10.39426
6075021500,31.9774,10.37479
6075021600,29.46045,11.27261
6075021700,30.5496,12.06755
6075021800,31.586,11.33412
6075022600,33.28507,11.5365
6075022702,35.58834,10.30817
6075022704,29.34212,10.46016
6075022801,30.74603,10.09446
6075022802,27.97582,10.73856
6075022803,33.16736,9.67023
6075022901,29.13707,9.83479
6075022902,30.00631,10.33261
