USPS	GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                  
CA	06067004006	4843	2375	1873695	86293	       0.723	       0.033	 38.5072046	-121.5248769                                                                                                               
CA	06067004008	3596	1562	1580346	75337	       0.610	       0.029	 38.4899030	-121.5470459                                                                                                               
CA	06067004009	5129	2334	1873908	0	       0.724	       0.000	 38.4908393	-121.5338651                                                                                                                   
CA	06067004010	5131	2534	1648103	0	       0.636	       0.000	 38.4876901	-121.5206821                                                                                                                   
CA	06067004011	3086	1403	1098133	125267	       0.424	       0.048	 38.4819076	-121.5288152                                                                                                              
CA	06067004012	3267	1390	1522613	511274	       0.588	       0.197	 38.4760817	-121.5227613                                                                                                              
CA	06067004100	5015	1690	2033366	0	       0.785	       0.000	 38.5066191	-121.4785228                                                                                                                   
CA	06067004201	5290	1716	1898619	0	       0.733	       0.000	 38.4887495	-121.4990252                                                                                                                   
CA	06067004202	5538	1736	1642385	0	       0.634	       0.000	 38.4884205	-121.4862812                                                                                                                   
CA	06067004203	5112	1538	1637038	0	       0.632	       0.000	 38.4881988	-121.4743864                                                                                                                   
CA	06067004300	9553	2523	3778406	0	       1.459	       0.000	 38.4761513	-121.4873526                                                                                                                   
CA	06067004401	4122	1446	1386522	0	       0.535	       0.000	 38.5311698	-121.4507437                                                                                                                   
CA	06067004402	4252	1343	1240512	0	       0.479	       0.000	 38.5323680	-121.4602788                                                                                                                   
CA	06067004501	3529	1146	1802496	0	       0.696	       0.000	 38.5180285	-121.4711734                                                                                                                   
